Sr No,Date,StartUp,Vertical,Subvertical,Location,Investors,Round,Amount
896,2017-04-17,be u salons,Consumer Internet,Online Salon discovery & Booking Services,New Delhi,gaurav kachru sundeep singh sahni jatin aneja arun malhotra,Seed Funding,5.305339999999999
897,2017-04-17,simulanis,Consumer Internet,eLearning & Skills Development plat,New Delhi,village capital,Seed Funding,0.0
898,2017-04-17,lendingkart,Consumer Internet,Lending platform for small businesses,Ahmedabad,anicut capital,Private Equity,39.790049999999994
899,2017-04-18,innefu security consulting,Technology,Cyber Security solutions using AI,New Delhi,indianivesh venture capital fund,Private Equity,17.114
900,2017-04-18,whodat,Technology,Markerless AR platform,Bangalore,ideaspring capital,Private Equity,5.134199999999999
901,2017-04-18,absentia vr,Technology,Virtual Reality Startup,Bangalore,exfinity venture partners,Private Equity,10.69625
902,2017-04-19,iotrek,Technology,IoT Platform for Bus,New Delhi,undisclosed investor,Seed Funding,1.3263349999999998
903,2017-04-20,holachef,Consumer Internet,Online Food Delivery,Mumbai,sidbi venture capital ltd kalaari capital,Private Equity,25.670999999999996
904,2017-04-20,wooplr,eCommerce,Social Commerce\\xc2\\xa0 Fashion platform,Bangalore,ankit nagori,Private Equity,0.0
905,2017-04-21,video ken,Consumer Internet,Video Based Collaborative Learning,Bangalore,ravi garikipati surot chatterjee ashish agrawal lg chandrasekhar sashi reddi,Seed Funding,8.557
906,2017-04-24,faasos,Food & Beverage,QSR chain and online food delivery,Pune,ligthbox ii lightbox expansion fund sequoia capital india runet south asia rb investments,Private Equity,53.9091
907,2017-04-24,oyo rooms,Consumer Internet,Branded Budget Hotels Aggregator,Gurgaon,softbank vision fund lightspeed venture partners sequoia capital india advisors greenoaks capital partners,Private Equity,2139.25
908,2017-04-24,toppr,Consumer Internet,Learning mobile app for students,Mumbai,wgg international,Private Equity,27.3824
909,2017-04-24,niramai,Healthcare,Breast Cancer Screening Solutions,Bangalore,pi axilor 500 startups binny bansal,Seed Funding,0.0
910,2017-04-25,the office pass,Consumer Internet,CoWorking Spaces booking platform,Gurgaon,arun tadanki aditya verma,Seed Funding,2.096465
911,2017-04-25,urbanclap,Consumer Internet,Mobile Services Marketplace,Gurgaon,trifecta capital,Private Equity,26.526699999999998
912,2017-04-26,awfis,Consumer Internet,Collaborative co-Working Spaces,Mumbai,sequoia india,Private Equity,171.14
913,2017-04-26,myra,Consumer Internet,Online Pharmacy,Bangalore,times internetmatrix partners,Private Equity,0.0
914,2017-04-26,flytxt,Technology,Customer data analytics software,Mumbai,dah beteiligungs gmbh,Private Equity,94.12699999999998
915,2017-04-26,howdy,Consumer Internet,Public and Private Events creation app,Chennai,s xavier britto,Seed Funding,12.835499999999998
916,2017-04-26,stalkbuylove,eCommerce,Online fashion marketplace,New Delhi,trifecta capital,Private Equity,8.557
917,2017-04-26,zipgo,Consumer Internet,Bus Pooling services platform,Bangalore,orios partners team builder omidyar networks,Private Equity,0.0
918,2017-04-27,scootsy,Consumer Internet,On-Demand Food Delivery,Mumbai,agnus capital khattar holdings,Private Equity,30.8052
919,2017-04-27,autobix,Technology,Software Solutions for Auto Dealership,Pune,gardx international,Seed Funding,0.0
920,2017-04-27,eshiksha,Technology,Education Institution Management Solutions,Jaipur,cross border angels experts,Seed Funding,0.0
921,2017-04-27,inurture,Consumer Internet,Online Educational courses,Bangalore,blacksoil capital,Private Equity,12.835499999999998
922,2017-04-28,sepalika,Consumer Internet,Healthcare related content platform,New Delhi,accel partners,Seed Funding,6.417749999999999
923,2017-04-28,mintwalk,Consumer Internet,Financial advisory mobile app,Mumbai,poshika financial ecosystem,Seed Funding,0.0
924,2017-04-29,qriyo,Consumer Internet,Tutor Discovery & Booking platform,Jaipur,nb,Private Equity,0.0
925,2017-01-03,ola,Consumer Internet,App based cab aggregator,Bangalore,softbank group corp,Private Equity,2823.8099999999995
926,2017-01-03,belong,Consumer Internet,Online Jon Portal,Bangalore,sequoia capital india,Private Equity,85.57
927,2017-01-03,seenit,Consumer Internet,AI based Fashion Search Portal,Kolkata,calcutta angels network can augment,Seed Funding,0.0
928,2017-01-03,paalak,ECommerce,Fresh Produce Selling portal,New Delhi,vishwadeep bajaj harsh kundra nandkumar rane ln buddharaju anupam tyagi,Seed Funding,0.0
929,2017-02-03,celes care,Consumer Internet,Women Healthcare & Information portal,Hyderabad,ventureast endiya partners eight roads fprime capital partners,Private Equity,12.835499999999998
930,2017-02-03,karomi,Technology,Packaging Artwork Management software,Chennai,ideaspring capital,Seed Funding,4.2785
931,2017-02-03,red carpet,Consumer Internet,Micro Lending platform,Gurgaon,lightspeed venture partners,Private Equity,21.3925
932,2017-02-03,kreate konnect,Technology,End-to-End Seller e-commerce solutions Provider,Vadodara,langoor,Seed Funding,0.0
933,2017-02-03,creditmantri,Consumer Internet,Online Credit score & lending platform,Chennai,quona capital,Private Equity,65.0332
934,2017-03-03,lets endorse,Consumer Internet,Online Ecosystem of social innovators,Bangalore,chandigarh angels network social alpha and other unnamed angel investors,Seed Funding,0.0
935,2017-03-03,tydy,Technology,Employee Onboarding and Engagement platform,Bangalore,bhupen shah jayesh parekh sanjay sathe,Seed Funding,2.353175
936,2017-03-03,nactus,Consumer Internet,Professional Tutors discovery & booking mobile app,Jaipur,sandeep aggarwal gautam chhaochharia r balachandar,Seed Funding,0.0
937,2017-03-03,oho shop,Technology,eCommerce Mobile App Builder,Ahmedabad,bennett coleman and company ltd,Private Equity,57.3319
938,2017-03-03,emojifi,Consumer Internet,Mobile App for live emoji,Hyderabad,undisclosed angel investors,Seed Funding,0.0
939,2017-03-03,paytm marketplace,ECommerce,ECommerce Marketplace,Bangalore,alibaba,Private Equity,1711.3999999999999
940,2017-04-03,igenetics,Healthcare,Health Diagnostic Solutions,Mumbai,cdc group plc,Private Equity,166.86149999999998
941,2017-06-03,juno clinic,Consumer Internet,Online Counseling Platform,Mumbai,atul nishar,Seed Funding,10.268399999999998
942,2017-06-03,summerlabel,Consumer Internet,Fashion and Lifestyle discovery platform,Gurgaon,aneesh seth tushar mittal,Seed Funding,1.2835499999999997
943,2017-06-03,pickme,Consumer Internet,Gadget Insurance & Repair Services platform,Mumbai,sidbi venture capital fund,Private Equity,15.31703
944,2017-07-03,agrostar,Technology,Direct-to-Farmer Mobile-Based Retail platform,Pune,accel partners,Private Equity,85.57
945,2017-07-03,zapr,Technology,"DSP, TV Analytics & Cross-Platform advertising",Bangalore,star india,Private Equity,85.57
946,2017-07-03,data resolve,Technology,Cyber Security Solutions,Noida,idfc parampara early stage opportunities fund,Private Equity,8.557
947,2017-07-03,book servicing,Consumer Internet,Online Vehicle Services Booking platform,New Delhi,national science and technology entrepreneurship development board,Seed Funding,0.25671
948,2017-07-03,blowhorn,Consumer Internet,Intra-City Logistics provider,Bangalore,idg india michael susan dell foundation draper associates unitus seed fund,Private Equity,31.23305
949,2017-08-03,rivigo,Logistics,Technology Enabled Logistics Company,Gurgaon,private sector banks debt funding,Private Equity,128.355
950,2017-08-03,pipecandy,Technology,Intelligent Sales Prospecting Platform,Chennai,idg axilor emergent indian angel network,Seed Funding,9.4127
951,2017-08-03,supr daily,Consumer Internet,Subscription based Home Delivery Platform,Mumbai,y combinator,Seed Funding,1.02684
952,2017-08-03,parentune,Consumer Internet,Online Community for Parents,Gurgaon,kae capital segnel,Private Equity,0.0
953,2017-09-03,appbrowzer,Consumer Internet,Instant Mobile Apps Store,Bangalore,deepak gurnani,Seed Funding,4.2785
954,2017-09-03,magicbricks,Consumer Internet,Online Real Estate Portal,Mumbai,times internet ltd,Private Equity,38.506499999999996
955,2017-10-03,peebuddy,Healthcare,Female Hygiene product manufacturer,New Delhi,indian angel network,Seed Funding,3.790751
956,2017-10-03,iorderfresh,ECommerce,Online fresh fruits and grocery store,New Delhi,singapore angel network,Seed Funding,0.0
957,2017-10-03,lavelle networks,Technology,SDN Solutions,Bangalore,ideaspring capital,Seed Funding,5.134199999999999
